slug,name,founded,format,structure,facilitation,group_size,stage_fit,revenue_floor,other_requirements,annual_cost,annual_cost_date,time_commitment,geography,application_model,venture_specific,best_for,not_for,last_verified
foundernexus,FounderNexus,,hybrid,curated rooms,staff-convened,Stage-matched rooms (size not published),pre-seed-seed; series-a; growth; late-stage,Venture-scale; stages mapped as $0–2M ARR (pre-seed/seed) through $50M+ ARR / Exit. Pre-approval: 3+ years as a venture-scale founder or meaningful VC round already raised; experience navigating a VC or angel raise; building or seeking to build a venture-scale company.,Apply → pre-approval → 1–2 free guest sessions → peer evaluation → invitation to matching stage room. VC-fund referrals receive expedited pre-approval.,Not published,2026-08-21,Monthly stage sessions plus Nexus Partner 1:1; cadence otherwise not quantified on homepage,"Online plus in-person (Seattle, San Francisco, London named on Luma)",application,true,Venture-scale founders who want stage-pure peer rooms around live decisions from pre-seed through exit.,"Lifestyle businesses, sub-$1M ARR services firms, or founders who want a paid facilitator-led CEO forum.",2026-08-21
vistage,Vistage,1957,hybrid,facilitated forum,paid facilitator,12 to 16,series-a; growth; late-stage,Chief Executive program: $5M+ revenue / typically 20+ employees. Small Business program: $1–4M revenue.,CEO/owner peer groups of non-competing members; Chair-led. Qualify via form.,Not published,2026-09-14,Monthly peer group meetings plus monthly 1:1 with Chair; speakers and events,Global chapters; local groups,application,false,"CEOs and owners who want a Chair-facilitated confidential peer group with coaching, across a wide range of company sizes.",Founders who need a venture-scale-only room or who reject paid facilitators.,2026-09-14
ypo,YPO,1950,hybrid,peer-led forum,peer-led,Chapter forums (exact size varies; not a single published number),growth; late-stage,"USD 16M+ sales (or agency USD 13M / financial institution USD 330M AUM / enterprise value USD 27M), plus 50 FTEs or 15+ FTEs with USD 2.75M payroll.",Under age 45 at join (exceptions on apply form for women to 54 and Black CEOs); top operational leader with full P&L and hire/fire authority.,"USD 4,790 one-time initiation + USD 4,790 annual global dues; local chapter dues extra and unpublished",2026-09-14,"Chapter forum and events; global events (EDGE, GBS) optional",Global chapters,application,false,Chief executives who clear a high revenue and headcount bar and want a large global leadership community with local chapters.,"Early-stage or Series A founders below the revenue/headcount bar, or founders who age out of the primary membership path.",2026-09-14
eo,Entrepreneurs' Organization (EO),1987,hybrid,peer-led forum,peer-led,Forum groups (chapter-based; size not a single published global number),pre-seed-seed; series-a; growth,"US$1M+ revenue business. Venture-backed exception: US$2M private or US$5M public raise plus 10 employees, with 3 years to hit $1M.","Founder, owner, or controlling shareholder. Accelerator on-ramp for US$250k–$999k revenue.","Global dues published as US$2,470 (apply page) vs US$2,630 (chapter pages) + US$3,500 one-time initiation; chapter dues extra/unpublished. Accelerator US$1,750/yr.",2026-09-14,Chapter Forum plus events; Global Leadership Conference optional,Global chapters (~226 chapters / 66 countries per homepage stats as of 2026-09-14),application,false,Founder-owners at roughly $1M+ revenue who want a chapter Forum and a large global entrepreneur network.,Founders who need venture-scale-only rooms or who reject chapter-based membership with local dues.,2026-09-14
hampton,Hampton,,in-person,facilitated forum,paid facilitator,about 10,series-a; growth; late-stage,$3M+ revenue OR $3M+ funding OR $10M+ prior exit; active founders/CEOs of digital or tech-enabled companies,Apply-gated; ~2% accepted (site claim); Core placement ~90 days; 18 chapter cities,Not published,2026-09-14,Monthly in-person Core group (Aug/Dec off) plus chapter events,18 chapter cities (US-focused),application,true,Active tech or digital founders who clear the $3M revenue/funding bar and want a monthly in-person moderated peer group in their city.,"Pre-seed founders below the bar, fully remote founders outside chapter cities, or anyone who wants a published price before applying.",2026-09-14
pavilion,Pavilion (formerly Revenue Collective),2016,hybrid,community platform,staff-convened,"Scale: 10 leaders; broader community 10,000+ (not a single forum size)",,"Gold: built for CXOs at 100M+ ARR (tier threshold, not a general membership floor). Associate/Executive have role floors, not revenue floors.",Executive: VPs+ at B2B tech in GTM. Associate: managers and directors. Scale: invitation-only for GTM VPs and C-level. Give-to-get; no pitching.,"Associate $1,375; Executive $2,700 (as listed on join form; may vary by seniority/location). Gold and Scale: Not published.",2026-09-15,Scale: two hours a month. Broader membership: chapter events and virtual events; no mandatory hours published,Global; 50+ local chapters,application,false,"In-seat B2B GTM operators who want Slack, chapters, operator education, and optionally an invite-only Scale forum.","Individual contributors, early-career non-leaders, or anyone looking to pitch inside the community.",2026-09-15
chief,Chief,2018,hybrid,facilitated forum,paid facilitator,Core (Jan 2026): C-Suite & Executive Leader 10–12; Builder & Navigator 15–20,,Builders path only: $2M+ annual revenue or venture funding (or past CXO/VP+ at credentialed companies).,"Designed for 15+ years leadership experience. Categories: C-Suite, Senior Leaders & Executives, Builders. Criteria effective 10/2025. Not for early career or soliciting business.","Chief Membership $5,900/year + $500 new member fee; Chief Signature $9,800/year (official Membership Experience PDF).",2026-09-15,"Core: 6 × 90-minute meetings per year (~every two months), plus optional programming; or 4 × 1-hour coaching sessions/year","US Clubhouses (NYC, SF, Chicago, DC) plus virtual and national events",application,false,"Senior women leaders seeking Guide-led Core peer advisory, coaching, and executive programming.",Early-career professionals or anyone joining primarily to solicit business.,2026-09-15
tiger-21,TIGER 21,1999,hybrid,facilitated forum,paid facilitator,5 to 15 (max 15 per Group),,Not a revenue floor — verifiable investable assets or qualifying net worth of at least $20M USD.,"Invitation only. Vetted via 5Cs: Character, Contribution, Capacity, Conditions, Capital. Capital alone does not guarantee invitation.","North America: USD 34,000 annual dues + USD 5,000 initiation (effective Apr 1, 2026). Other regions published on pricing policy page.",2026-09-15,Monthly day-long meetings 11 times per year,"Global — 54 cities, 162 Groups (per About page as of verification)",invite-only,false,"UHNW wealth creators who want a Chair-facilitated personal board on investments, family, and legacy.","Operators below the $20M capital bar, or founders seeking a venture-stage peer room rather than a UHNW wealth network.",2026-09-15
founders-network,Founders Network,2011,hybrid,community platform,peer-led,Peer Advisory Roundtables: 10 to 12; community 600+,pre-seed-seed; series-a,No single floor; tiers by experience — Launch (pre-revenue–$10K / self-funded–$100K raised); Scale ($10K–$1M / $100K–$3M raised); Lead ($1M+ / $3M+ raised).,Full-time tech startup founder (no service firms); invite-only with membership committee approval; no selling/pitching.,Launch $75/mo; Scale $134/mo; Lead $249/mo (annual commitments). Lifetime plan amount Not published.,2026-09-15,Flexible; 100+ events/year available; Lead includes monthly peer roundtables,"Global chapters including SF, Silicon Valley, LA, Seattle, Vancouver, NYC, London",invite-only,true,Full-time tech startup founders who want a vetted peer community and stage-tiered mentoring without giving equity.,"Service-firm operators, non-founders, or people looking to sell inside the network.",2026-09-15
on-deck,On Deck / ODF (On Deck Fellowship),2016,hybrid,community platform,staff-convened,"Onboarding week: 80–100; community platform: 3,000+",pre-seed-seed,Not published / none stated,"Great fit: track record of shipping; committed (or soon) to starting a company. Not a fit: past pre-seed/PMF, already have a full team, primary customers outside US. Must attend full SF sprint. Non-dilutive.","Pay-what-you-can; suggested contribution $1,000 USD",2026-09-15,Required: five business days in San Francisco; ongoing community optional,Onboarding in San Francisco; applicants worldwide,application,true,Pre-seed builders committing to start a company who want an SF onboarding week plus lifetime fellow network without giving equity.,"Founders past pre-seed/PMF, or builders whose primary market will stay outside the US.",2026-09-15
